catalog #	has title	has description
86-21-408		✓
86-21-409		✓
86-21-410		✓
86-21-411		✓
86-21-412		✓
86-21-413		✓
86-21-414		✓
86-21-415		✓
86-21-416		✓
86-21-417		✓
86-21-418		✓
86-21-419		✓
86-21-420		✓
86-21-421		✓
86-21-422		✓
86-21-423		✓
86-21-424		✓
86-21-425		✓
86-21-426		✓
86-21-428		✓
86-21-429		✓
86-21-430		✓
86-21-431		✓
86-21-432		✓
86-21-433		✓
86-21-434		✓
86-21-435		✓
86-21-436		✓
86-21-437		✓
86-21-438		✓
86-21-439		✓
86-21-440		✓
86-21-441		✓
86-21-442		✓
86-21-443		✓
86-21-444		✓
86-21-445		✓
86-21-446		✓
86-21-447		✓
86-21-448		✓
86-21-451		✓
86-21-452		✓
86-21-454		✓
86-21-455		✓
86-21-457		✓
86-21-458		✓
86-21-462	✓	
86-21-463	✓	
86-21-464	✓	
86-21-465	✓	
86-21-466	✓	
86-21-467	✓	
86-21-468	✓	
86-21-469	✓	
86-21-470	✓	
86-21-471	✓	
86-21-472	✓	
86-21-473	✓	
86-21-474	✓	
86-21-475	✓	
86-21-476	✓	
86-21-477	✓	
86-21-478	✓	
86-21-479	✓	
86-21-480	✓	
86-21-481	✓	
86-21-482	✓	
86-21-483	✓	
86-21-484	✓	
86-21-485	✓	
86-21-486	✓	
86-21-487	✓	
86-21-488	✓	
86-21-489	✓	
86-21-490	✓	
86-21-491	✓	
86-21-492	✓	
86-21-493	✓	
86-21-494	✓	
86-21-495	✓	
86-21-496	✓	
86-21-497	✓	
86-21-498	✓	
86-21-499	✓	
86-21-500	✓	
86-21-501	✓	
86-21-502	✓	
86-21-503	✓	
86-21-504	✓	
86-21-505	✓	
86-21-508	✓	
86-21-509	✓	
86-21-510	✓	
86-21-511	✓	
86-21-512	✓	
86-21-513	✓	
86-21-514	✓	
86-21-515	✓	
86-21-516	✓	
86-21-517	✓	
86-21-518	✓	
86-21-519	✓	
86-21-520	✓	
86-21-521	✓	
86-21-522	✓	
86-21-523	✓	
86-21-524	✓	
86-21-525	✓	
86-21-526	✓	
86-21-527	✓	
86-21-528	✓	
86-21-529	✓	
86-21-530	✓	
86-21-531	✓	
86-21-532	✓	
86-21-533	✓	
86-21-534	✓	
86-21-535	✓	
86-21-536	✓	
86-21-537	✓	
86-21-538	✓	
86-21-539	✓	
86-21-540	✓	
86-21-541	✓	
86-21-542	✓	
86-21-543	✓	
86-21-544	✓	
86-21-545	✓	
86-21-546	✓	
86-21-547	✓	
86-21-548	✓	
86-21-549	✓	
86-21-556	✓	
